Z_Depth_m,BBox_Area_px2
0.8164,90374.66
0.8981,90300.17
1.0258,49175.03
1.2031,30228.65
1.3796,25592.43
1.5145,20152.17
1.597,17186.48
1.6275,16702.76
1.6064,16029.78
1.5359,17663.43
1.4288,20047.69
1.3027,23611.09
1.1818,30132.69
1.0761,33315.16
1.0103,34411.78
0.9728,41868.61
0.9534,48762.57
0.9671,43993.48
1.0343,32994.35
1.1399,36286.11
1.2638,33143.18
1.3826,27141.3
1.4905,21507.14
1.5704,18543.44
1.6053,16754.34
1.5899,16929.81
1.526,17395.91
1.4307,19350.44
1.3151,23637.73
1.1951,13568.84
1.1153,32557.67
1.0355,38651.97
0.9696,47043.19
0.9434,45435.82
0.976,34921.24
1.0616,26960.36
1.1431,32952.26
1.2198,34584.02
1.2902,30749.91
1.3489,25787.33
1.4123,23292.81
1.4594,20758.42
1.4661,20202.87
1.4396,21340.69
1.3888,21450.08
1.3242,23246.35
1.2501,26394.86
1.1793,30222.92
1.1286,33076.04
1.1003,34449.9
1.0873,39065.67
1.0993,37143.84
1.1554,33758.14
1.2249,30515.95
1.2863,28579.93
1.3312,25166.1
1.3697,23494.9
1.3996,22013.26
1.4012,21878.31
1.3748,23003.03
1.3277,23599.55
1.2756,24977.9
1.2232,27348.38
1.1703,31220.3
1.1377,33728.17
1.1231,36217.56
1.1217,34843.89
1.1499,34487.32
1.1904,30529.75
1.2349,28320.6
1.2707,28195.42
1.3012,25151.95
1.3324,23920.54
1.3518,22830.13
1.3495,23159.45
1.3226,25275.87
1.2817,25667.67
1.2422,27196.85
1.2018,28908.44
1.1773,31090.4
1.1691,31526.04
1.1685,32270.76
1.1741,33350.2
1.185,31111.94
1.2008,29912.42
1.2194,28893.49
1.2403,27769.58
1.2619,26768.52
1.2832,25768.93
1.3045,24279.84
1.3145,24680.67
1.3031,25215.71
1.2818,24630.59
1.2565,25918.26
1.2247,26781.83
1.1969,28741.78
1.1858,29161.56
1.1849,28405.31
1.189,29334.62
1.1974,30537.03
1.2098,30218.51
1.225,28738.06
1.2422,27784.98
1.2615,26587.6
1.2802,24872.6
1.2824,25421.05
1.2657,25924.53
1.2431,25807.01
1.2235,25707.1
1.2031,27106.21
1.1751,29552.75
1.1599,29465.86
1.1602,30131.53
1.1672,31907.27
1.1784,30044.08
1.1932,29544.03
1.211,29479.88
1.2304,28973.57
1.2503,28570.71
1.27,26843.11
1.2903,24475.12
1.3084,24442.21
1.3041,24330.73
1.2833,25501.63
1.2523,26328.99
1.2265,27088.39
1.2024,29312.91
1.1901,29963.31
1.1889,29117.8
1.1931,29715.62
1.2012,29164.24
1.213,28240.26
1.2278,27884.78
1.2443,27323.7
1.2631,26338.95
1.2803,26220.66
1.284,24922.97
1.2767,24551.56
1.259,25660.78
1.2372,26928.86
1.2139,27228.59
1.1936,27935.78
1.1777,29236.18
1.1731,29267.52
1.1777,29038.93
1.187,29071.81
1.2001,28717.89
1.2159,28879.93
1.2335,28135.22
1.2523,27226.75
1.2726,26015.47
1.2914,25733.51
1.295,25436.35
1.2821,25718.5
1.2639,24968.03
1.2427,26246.09
1.2138,28107.33
1.1836,28748.46
1.1641,31246.92
1.1609,30730.99
1.1649,30566.1
1.1736,30500.87
1.1868,29975.95
1.2034,28266.36
1.2228,27426.64
1.2439,27534.12
1.2659,26130.74
1.2892,25039.7
1.2964,24859.93
1.2852,25765.86
1.2625,25843.39
1.2363,27219.61
1.2081,27156.33
1.1803,28198.83
1.1629,29952.71
1.1609,30303.89
1.1657,30402.38
1.175,30118.88
1.1885,29919.92
1.2053,29057.05
1.2243,27809.58
1.2447,26742.14
1.2664,25737.39
1.2867,25996.73
1.2868,26422.81
1.272,25968.43
1.2541,26071.01
1.2303,25747.27
1.2128,27132.54
1.1834,28544.75
1.1613,28177.54
1.158,29958.93
1.1633,29839.3
1.1727,29434.36
1.1862,28882.5
1.203,29631.99
1.2218,28712.26
1.2416,26545.01
1.264,26285.65
1.2794,26434.77
1.2762,26633.86
1.2628,25978.57
1.2546,25723.85
1.2408,26671.94
1.2151,28539.48
1.2004,29024.41
1.2002,27730.96
1.2055,28072.03
1.2139,28013.25
1.2256,27486.99
1.2406,26185.97
1.259,26213.24
1.2631,26832.9
1.2537,24963.51
1.2564,25424.12
1.2489,25239.58
1.2291,26418.03
1.2031,27570.17
1.194,27664.51
1.2247,26395.43
1.298,26694.28
1.4102,23040.13
1.5594,21098.61
1.7085,15000.79
1.8265,13448.72
1.893,12338.68
1.9043,11127.91
1.8617,12520.91
1.7683,13373.47
1.6434,14688.71
1.4996,16730.8
1.351,21580.47
1.2122,25353.84
1.0764,30873.45
0.9849,34762.66
0.9191,45630.44
0.8778,53413.67
0.8811,47905.88
0.9285,46941.27
0.9923,43469.37
1.0496,41592.85
1.095,36774.84
1.1138,33453.71
1.0932,34099.01
1.0245,36916.15
0.9094,44010.68
0.778,29399.34
0.6591,34543.78
0.5292,59775.01
0.38,37406.99
0.2499,35399.65
0.1624,32021.58
0.7212,63405.07
0.9265,38904.56
1.1746,32070.69
1.4587,24602.84
1.7092,16711.82
1.921,12610.29
2.0816,9069.3
2.1749,7644.93
2.2024,6374.66
2.1717,6714.44
2.076,7325.02
1.9144,9607.02
1.729,11714.06
1.5424,14442.11
1.3919,20491.04
1.2894,25175.21
1.2692,27456.81
1.3781,26326.35
1.6237,18905.81
1.9789,11072.18
2.3683,7137.88
2.7636,5492.38
3.1417,4099.46
3.5015,3344.83
3.8431,2804.87
4.1702,2424.28
4.4718,1953.53
4.7648,1933.4
5.0653,1668.42
5.364,1459.52
5.6697,1345.95
5.9853,1214.68
6.3048,1074.47
6.6298,1056.24
6.9513,910.92
7.2779,918.34
7.6003,780.55
7.9204,732.09
8.2271,626.39
8.5329,558.03
8.8234,473.13
9.1016,467.44
9.359,490.56
9.6059,496.55
9.8379,478.37
10.0596,327.35
10.2505,376.17
10.4189,295.47
10.569,320.54
10.6862,261.7
10.789,307.53
10.8715,261.53
10.9329,303.86
10.9802,327.9
11.018,264.35
11.0483,321.72
11.0676,333.42
11.0885,241.88
11.1094,236.57
11.1294,222.14
11.1632,227.81
11.1816,237.98
11.2654,190.19
11.32,196.09
11.3659,234.47
11.4055,218.08
11.4447,219.56
11.4805,217.6
11.5099,232.57
